ID,Code,Name
5965,333147,52,소떠
5973,333148,52,포풔
6010,333154,52,꽈거
6040,333160,52,피흐
6117,333176,52,툐비
6127,333178,52,틔애
6171,333186,52,초베
6257,333201,52,게쫴
6266,333204,52,뮤페
6283,333206,52,버까
6294,333208,52,뛔재
6321,333213,52,퍄얘
6337,333215,52,쉐괘
6354,333217,52,쫘뛔
6361,333218,52,뮈훼
6365,333218,52,쟤너
6371,333220,52,듸셔
6509,333243,52,꾀위
6620,333263,52,쵸뤠
6621,333263,52,쥬홰
6661,333271,52,얘노
6695,333277,52,슈쳬
6742,333285,52,뙤케
6750,333287,52,쟈쫴
6805,333296,52,뾔브
6818,333298,52,듸제
6825,333299,52,또계
6851,333304,52,채쳬
6857,333305,52,스쭤
6860,333306,52,꾸토
6869,333308,52,쏴차
6898,333313,52,뵈씨
6922,333319,52,돠궈
6973,333328,52,타뀨
6992,333330,52,쁘규
7000,333330,52,페꾸
7010,333332,52,쮜그
7035,333335,52,뛔즈
7039,333336,52,톄묘
7123,333351,52,쉐꿰
7176,333358,52,붸대
7197,333360,52,퓌뮤
7305,333376,51,쉬써
7316,333378,51,퉤최
7332,333381,51,모꾀
7368,333388,51,냐뛔
7373,333389,51,야챠
7489,333411,51,마퉤
7491,333411,51,따패
7533,333418,51,줴꾀
7552,333419,51,씌류
7675,333442,51,쌔뭬
7685,333444,51,쳬혜
7786,333462,51,벼퍄
7840,333472,51,쭤끼
7848,333473,51,크꾀
7902,333484,51,워뮈
7935,333490,51,빠퉤
7936,333490,51,저허
7940,333490,51,녀슈
7946,333491,51,깨뭬
7959,333493,51,타돠
7981,333497,51,회푸
8023,333503,51,게계
8026,333504,51,먀나
8034,333506,51,꽈봬
8102,333518,51,녀줴
8120,333520,51,으사
8138,333523,51,새뒤
8214,333534,51,섀써
8223,333535,51,채샤
8225,333536,51,뙈야
8231,333537,51,톼퉈
8233,333537,51,추뾔
8234,333537,51,탸따
8235,333537,51,몌띄
8245,333538,51,풔훼
8326,333551,51,쇠갸
8358,333556,50,췌도
8368,333557,50,랴폐
8456,333576,50,교띠
8459,333577,50,구꿔
8492,333581,50,메티
8562,333596,50,괘트
8565,333596,50,쇠계
8572,333598,50,펴웨
8601,333604,50,쉐게
8623,333608,50,꿰퀴
8628,333609,50,튀대
8631,333610,50,뮈레
8640,333611,50,갸얘
8649,333612,50,쏘켜
8698,333622,50,우붸
8732,333627,50,류느
8760,333632,50,듸샤
8840,333645,50,뻐듸
8896,333656,50,초듸
8902,333657,50,루보
8908,333658,50,쒀햐
8956,333664,50,쁘례
8957,333664,50,데꽤
9074,333681,50,짜캬
9106,333687,50,뤠패
9141,333695,50,째봬
9156,333697,50,바처
9166,333698,50,뵈호
9176,333699,50,먀겨
9201,333703,50,꿰디
9231,333708,50,쇼늬
9288,333716,50,줘뚜
9325,333723,50,됴걔
9336,333725,50,시므
9351,333727,50,또뎨
9380,333732,50,여졔
9382,333732,50,퐈퉤
9384,333732,50,며뎨
9396,333734,50,뉘톼
