Name,Hi,Lo,Score
저패,0.8582649982806654,0.6167421506562404,0.241522847624425
서려,0.8202559107290066,0.5798155428150472,0.2404403679139594
허려,0.856030928686301,0.6165551739916691,0.2394757546946319
게효,0.7965548047321882,0.5586737398926318,0.2378810648395564
머려,0.845400690565083,0.607787388365157,0.23761330219992605
와교,0.7696178608990292,0.5328050158609607,0.23681284503806843
와려,0.8653457481467088,0.6306929429898405,0.23465280515686837
허롸,0.850867155758893,0.6163411529568701,0.23452600280202296
머쇼,0.825512709359516,0.5911025008431393,0.23441020851637673
채녀,0.850718618288407,0.6180164965779913,0.2327021217104157
추려,0.8558099497588059,0.6239592218882886,0.2318507278705173
채와,0.8558980000609189,0.6242641415967561,0.23163385846416273
치거,0.8596730128275596,0.6289736800566059,0.23069933277095367
우와,0.8404916479249286,0.610097360276231,0.23039428764869763
치뤄,0.8314764437393513,0.6012753665097139,0.23020107722963734
후여,0.8687467012249053,0.6387095436722932,0.23003715755261211
머사,0.8639821518581102,0.6349501187278255,0.22903203313028475
허겨,0.8754855178939719,0.64690847492644,0.2285770429675319
애와,0.8546362376344712,0.6264697222336829,0.22816651540078825
펴롸,0.8624681279615759,0.6348360291197777,0.22763209884179825
머료,0.8349870171640379,0.6078354593518898,0.22715155781214813
패쇼,0.8526672741396342,0.6256825817420559,0.22698469239757824
혀주,0.870653177680381,0.6436834322786875,0.22696974540169346
추서,0.8282899759001057,0.6014031899756985,0.22688678592440714
와러,0.8788550266102706,0.6519862910630498,0.22686873554722076
해혀,0.8512290036906852,0.6244956084271049,0.22673339526358027
퍼과,0.8611912153666812,0.6345989833258596,0.22659223204082157
서쳐,0.8509529460564489,0.6243625283735219,0.22659041768292698
새혀,0.86160241334631,0.6350517045577418,0.2265507087885682
쌔저,0.8711437887265232,0.6455831607937088,0.2255606279328144
버쇼,0.8396054156474811,0.6141138850584891,0.22549153058899207
마벼,0.8621106624684776,0.6368637911930815,0.2252468712753961
저텨,0.8642269375338247,0.6391938038981233,0.22503313363570143
매숴,0.8610168741867227,0.6362552539957256,0.2247616201909971
머부,0.8651941482653198,0.6408508874129148,0.22434326085240497
솨겨,0.8547243251905088,0.630853712873045,0.22387061231746375
채죠,0.8265542378760404,0.6027710078644946,0.22378323001154588
혀가,0.8837181988378402,0.660235998113606,0.2234822007242342
러녀,0.858005709308485,0.6345296232756694,0.22347608603281555
저허,0.8479368169981866,0.6245192764051815,0.22341754059300512
이버,0.8570635078894641,0.6343172167544452,0.22274629113501887
여너,0.8642163133192304,0.641661229172032,0.22255508414719838
다새,0.8572687018871945,0.6348890811101926,0.2223796207770019
혀류,0.8719886261163947,0.6497510525929824,0.22223757352341234
뫄려,0.8634557266314609,0.641262213415967,0.22219351321549385
솨료,0.8406483745521075,0.6185256790917566,0.2221226954603509
거겨,0.8691022521916179,0.647020475941321,0.2220817762502969
터벼,0.8589566198388029,0.637128004079779,0.2218286157590239
쑤교,0.7524026386212069,0.5308345399418337,0.22156809867937322
수퐈,0.8463021044829935,0.6248704619434067,0.2214316425395868
쵸새,0.840334564550377,0.6190176225430731,0.2213169420073039
셔솨,0.8534392770365149,0.6321423145241843,0.22129696251233055
수뤄,0.854798964170113,0.6335443539097272,0.22125461026038584
새숴,0.8389714066752976,0.6177255043390898,0.22124590233620778
기롸,0.8355563304450024,0.614508017478961,0.22104831296604144
어개,0.8713030836002136,0.6503502901494864,0.22095279345072716
퐈서,0.849295771360807,0.6283501229836301,0.2209456483771769
와태,0.8748065099914756,0.6540725153603116,0.22073399463116394
허워,0.8271754733461197,0.6065612640420768,0.22061420930404296
거와,0.8469019058026992,0.6263180139677591,0.2205838918349401
시겨,0.861878116251392,0.6412947433221757,0.22058337292921626
뎌과,0.849177307707175,0.6287349389410661,0.2204423687661089
수펴,0.8549732079100723,0.6345818842550732,0.22039132365499903
새펴,0.8619610251661618,0.6416214789410819,0.2203395462250799
토녀,0.8491978211108694,0.6288641109172228,0.22033371019364656
아쇼,0.8389275644051859,0.6187343824307715,0.2201931819744144
하화,0.8211541544731054,0.6011620671866701,0.21999208728643527
과어,0.8643373160872891,0.6443605579936234,0.2199767580936658
셔겨,0.869054988099172,0.6492517851225058,0.21980320297666622
그퐈,0.8430748348041623,0.6233651839360475,0.2197096508681149
무러,0.8659115240085534,0.646215019121113,0.2196965048874404
에와,0.8280023780598715,0.6083835856482553,0.2196187924116162
퐈뇨,0.8269857657324289,0.6074087776278432,0.2195769881045857
화어,0.86630899716579,0.6467522348628179,0.21955676230297216
시러,0.8471925154901484,0.6280683025297689,0.21912421296037954
이텨,0.8462080451511929,0.6270894126095877,0.21911863254160513
채롸,0.8591237814035078,0.640047394004244,0.21907638739926372
뫄이,0.8594407994461908,0.6405346088950121,0.21890619055117866
과혀,0.853574710689438,0.6347875871384209,0.21878712355101715
재뵤,0.8591864451141822,0.6404127220280064,0.21877372308617582
에겨,0.8721873219242423,0.6534644238430694,0.21872289808117296
대새,0.8396873999953431,0.620968808573364,0.21871859142197914
써겨,0.8690784907774989,0.6503778914232758,0.21870059935422304
커이,0.8517053061626789,0.6330386149213972,0.21866669124128169
푸요,0.822305775934048,0.6036561782448854,0.2186495976891626
미너,0.8427601934526633,0.6251809851399921,0.2175792083126712
부려,0.8593548643634836,0.6419719134080333,0.21738295095545035
셔숴,0.8408367656076632,0.6237776827043056,0.21705908290335763
저쿄,0.8271336408306084,0.6101983167161292,0.21693532411447913
텨기,0.8860032168390872,0.6691616016527738,0.2168416151863134
조개,0.8695810699932536,0.6530354801355349,0.21654558985771866
