Name,Senti_scores
유소,0.9783481955528259
쇼슈,0.9770644307136536
슈케,0.9769771099090576
키큐,0.976845383644104
시슈,0.9762172102928162
교셔,0.9746286273002625
세쿄,0.973739743232727
교시,0.972052276134491
키이,0.9698702096939087
키토,0.9685094356536865
아쇼,0.9675964117050171
세오,0.9675374627113342
리큐,0.9649225473403931
코쎄,0.9629430174827576
소뇨,0.9622570872306824
그티,0.9615060091018677
코사,0.9607526659965515
소워,0.9596374034881592
툐교,0.9592896103858948
레규,0.9589269757270813
요요,0.9586520195007324
쳐시,0.9578469395637512
고피,0.9576793909072876
슈그,0.9557476043701172
게터,0.9555140733718872
커이,0.9554949998855591
소어,0.9548252820968628
셔토,0.9545891880989075
교기,0.9537861347198486
게기,0.9536496996879578
겨씨,0.9534394145011902
유수,0.952091634273529
코케,0.9514740109443665
커씨,0.9505289196968079
고아,0.9503902196884155
초숴,0.9498085975646973
겨제,0.9496848583221436
에겨,0.9495196342468262
게효,0.9486656188964844
쥬세,0.9484426379203796
그포,0.9484179615974426
태쏘,0.948018491268158
게켜,0.9469606280326843
토튜,0.9468819499015808
세켜,0.9460937976837158
토고,0.9459303617477417
큐쎄,0.9457096457481384
튜포,0.945636510848999
표포,0.9449233412742615
쇼휴,0.9447460770606995
헤쏘,0.9446224570274353
효슈,0.944494366645813
케으,0.9439281225204468
요수,0.9438762068748474
시겨,0.9434425234794617
애고,0.9433209300041199
겨뉴,0.943218469619751
게노,0.9431917667388916
녀슈,0.9429225921630859
어포,0.94236159324646
게조,0.942237138748169
궈교,0.9414641857147217
쿼슈,0.941019594669342
셔뇨,0.9408587217330933
겨효,0.9404363036155701
세호,0.9404007792472839
궈사,0.9402953386306763
소텨,0.9388996958732605
셔겨,0.9380881190299988
캐쿄,0.9377949833869934
숴트,0.9375888109207153
로쎄,0.9371013641357422
헤이,0.9367685914039612
저쿄,0.9364212155342102
캐고,0.9360813498497009
셔숴,0.9360753297805786
고파,0.9360159039497375
규와,0.9359517693519592
쵸새,0.9357848167419434
퓨켜,0.935636579990387
며규,0.9354712963104248
소캐,0.9352823495864868
애규,0.9351456165313721
세뵤,0.9350444078445435
뮤뉴,0.9348071813583374
뇨쇼,0.9342982172966003
조에,0.9342408180236816
쇼처,0.9339109659194946
류느,0.933840811252594
키겨,0.9338209629058838
거쥬,0.9334502220153809
초쓰,0.9318861365318298
크교,0.9318227171897888
규가,0.9316285252571106
요가,0.9313453435897827
뇨소,0.9312087893486023
풔유,0.9309978485107422
키숴,0.9301283359527588
와교,0.9299108982086182
뤄소,0.9298598766326904
셔츄,0.9298363327980042
쇼비,0.9296736717224121
가류,0.9294623732566833
고로,0.92905193567276
