name,score
규큐,0.9777556657791138
소소,0.9775657653808594
고서,0.9751148819923401
교서,0.9736902117729187
세요,0.9733119606971741
레유,0.9730458855628967
이슈,0.9725015759468079
기소,0.9702024459838867
게이,0.9695834517478943
오서,0.9689698219299316
기스,0.9688217639923096
쇼스,0.9687018394470215
코세,0.9683355093002319
큐티,0.9679375886917114
코트,0.9678643345832825
소임,0.9677293300628662
슈포,0.9676508903503418
킹슈,0.9674068093299866
토성,0.9669577479362488
귤유,0.9666181206703186
기은,0.9664760231971741
공연,0.9654392600059509
로쇼,0.9649838209152222
윤윤,0.9649259448051453
셔스,0.9649086594581604
이스,0.9647865891456604
오석,0.9647123217582703
쇼크,0.9644960761070251
공세,0.9644239544868469
고슬,0.9642435312271118
소인,0.9641556143760681
연슈,0.9640519022941589
류긴,0.9638388752937317
오신,0.9630927443504333
유크,0.962976336479187
경색,0.9628481268882751
규민,0.9627801179885864
인에,0.9623903632164001
송은,0.9623560905456543
경철,0.9619855284690857
리스,0.961961030960083
이연,0.9619231820106506
걸인,0.9618890285491943
여유,0.9618805050849915
뉴스,0.961552619934082
여사,0.9612499475479126
겡이,0.9612295627593994
유영,0.9611682295799255
영실,0.9611563086509705
싱유,0.960974395275116
신염,0.9609684944152832
인경,0.9608392715454102
강소,0.9607755541801453
킨셔,0.9606941938400269
윤선,0.9605169892311096
영영,0.9605168104171753
큐피,0.9601538777351379
연소,0.9601051807403564
민슥,0.959681510925293
균형,0.959618866443634
초성,0.9595744013786316
이안,0.9594957828521729
고규,0.9593247175216675
영원,0.9592689275741577
교사,0.9591432213783264
키일,0.9591257572174072
연인,0.9590746760368347
사임,0.9590480327606201
강연,0.958993673324585
임시,0.9589909315109253
공식,0.9587522745132446
일이,0.9585179686546326
류일,0.9581781029701233
이익,0.9579094052314758
상은,0.9578466415405273
시시,0.9576595425605774
인형,0.957488477230072
캐슈,0.9574373960494995
사이,0.9571569561958313
이긴,0.9571136236190796
신용,0.9569848775863647
여앙,0.956977367401123
결에,0.9569314122200012
건생,0.956889808177948
소호,0.9563042521476746
공썩,0.9561048746109009
옹색,0.9560185670852661
오쑈,0.9560005068778992
영역,0.9557766318321228
영왕,0.955726146697998
청성,0.9556169509887695
사영,0.9555603265762329
토식,0.9553345441818237
인의,0.9551773071289062
에슨,0.9550232291221619
슈킹,0.9545882940292358
잉쏘,0.954538881778717
코쓰,0.9544922113418579
긴호,0.9544780850410461
로이,0.954309344291687
이상,0.9542487263679504
기근,0.9542390704154968
성은,0.9542322754859924
초오,0.9541648626327515
